"REF_AREA","FREQ","MEASURE","TIME_PERIOD","PRICE_BASE","BASE_PER","CURRENCY","OBS_VALUE"
"CAN","A","SUBSID",2023,"Q",2023,"CAD",0
"CAN","A","FUETAX",2023,"Q",2023,"CAD",15.388048
"CAN","A","SUBSID",2021,"Q",2023,"CAD",0
"CAN","A","SUBSID",2018,"Q",2023,"CAD",0
"CAN","A","MPERPRI",2023,"Q",2023,"CAD",25.454683
"CAN","A","MPERPRI",2021,"Q",2023,"CAD",17.549673
"CAN","A","MPERPRI",2018,"Q",2023,"CAD",7.0469694
"CAN","A","FUETAX",2021,"Q",2023,"CAD",22.131289
"CAN","A","FUETAX",2018,"Q",2023,"CAD",25.534281
"CAN","A","CARBTAX",2023,"Q",2023,"CAD",19.650406
"CAN","A","CARBTAX",2021,"Q",2023,"CAD",13.806657
"CAN","A","CARBTAX",2018,"Q",2023,"CAD",6.1552048
"CAN","A","NETECR",2023,"Q",2023,"CAD",60.493137
"CAN","A","NETECR",2021,"Q",2023,"CAD",53.487617
"CAN","A","NETECR",2018,"Q",2023,"CAD",38.736458
"CAN","A","ECRATE",2023,"Q",2023,"CAD",60.493137
"CAN","A","ECRATE",2021,"Q",2023,"CAD",53.487617
"CHE","A","ECRATE",2023,"Q",2023,"CHF",147.26765
"CHE","A","SUBSID",2018,"Q",2023,"CHF",0
"CHE","A","ECRATE",2021,"Q",2023,"CHF",145.46216
"CHE","A","ECRATE",2018,"Q",2023,"CHF",140.02896
"CHE","A","FUETAX",2021,"Q",2023,"CHF",106.79701
"CHE","A","FUETAX",2018,"Q",2023,"CHF",107.77131
"FRA","A","MPERPRI",2023,"Q",2023,"EUR",16.80323
"FRA","A","MPERPRI",2021,"Q",2023,"EUR",11.956281
"FRA","A","MPERPRI",2018,"Q",2023,"EUR",4.2343235
"NLD","A","FUETAX",2018,"Q",2023,"EUR",85.920624
"BEL","A","CARBTAX",2023,"Q",2023,"EUR",0
"BEL","A","CARBTAX",2021,"Q",2023,"EUR",0
"BEL","A","CARBTAX",2018,"Q",2023,"EUR",0
"FRA","A","CARBTAX",2023,"Q",2023,"EUR",17.441525
"FRA","A","CARBTAX",2021,"Q",2023,"EUR",18.84424
"FRA","A","CARBTAX",2018,"Q",2023,"EUR",19.434891
"CHE","A","NETECR",2023,"Q",2023,"CHF",147.26765
"CHE","A","NETECR",2021,"Q",2023,"CHF",145.46216
"CHE","A","NETECR",2018,"Q",2023,"CHF",140.02896
"CHE","A","SUBSID",2023,"Q",2023,"CHF",0
"CHE","A","SUBSID",2021,"Q",2023,"CHF",0
"CHE","A","CARBTAX",2023,"Q",2023,"CHF",39.737247
"CHE","A","CARBTAX",2021,"Q",2023,"CHF",33.310402
"CHE","A","CARBTAX",2018,"Q",2023,"CHF",31.588089
"CHE","A","MPERPRI",2023,"Q",2023,"CHF",8.5320559
"CHE","A","MPERPRI",2021,"Q",2023,"CHF",5.3547382
"CHE","A","MPERPRI",2018,"Q",2023,"CHF",0.66956019
"NLD","A","NETECR",2023,"Q",2023,"EUR",118.49335
"NLD","A","NETECR",2021,"Q",2023,"EUR",125.89374
"NLD","A","NETECR",2018,"Q",2023,"EUR",95.036354
"FRA","A","SUBSID",2023,"Q",2023,"EUR",-41.517406
"FRA","A","SUBSID",2021,"Q",2023,"EUR",0
"FRA","A","SUBSID",2018,"Q",2023,"EUR",0
"NLD","A","FUETAX",2023,"Q",2023,"EUR",85.175926
"NLD","A","FUETAX",2021,"Q",2023,"EUR",100.55272
"BEL","A","FUETAX",2023,"Q",2023,"EUR",46.567234
"BEL","A","FUETAX",2021,"Q",2023,"EUR",50.958672
"BEL","A","FUETAX",2018,"Q",2023,"EUR",59.028828
"NLD","A","ECRATE",2023,"Q",2023,"EUR",120.03323
"NLD","A","ECRATE",2021,"Q",2023,"EUR",125.89374
"NLD","A","ECRATE",2018,"Q",2023,"EUR",95.036354
"NLD","A","MPERPRI",2023,"Q",2023,"EUR",34.588223
"NLD","A","MPERPRI",2021,"Q",2023,"EUR",25.341019
"NLD","A","MPERPRI",2018,"Q",2023,"EUR",9.1157312
"NLD","A","SUBSID",2023,"Q",2023,"EUR",-1.5398747
"NLD","A","SUBSID",2021,"Q",2023,"EUR",0
"NLD","A","SUBSID",2018,"Q",2023,"EUR",0
"FRA","A","ECRATE",2023,"Q",2023,"EUR",87.872475
"FRA","A","ECRATE",2021,"Q",2023,"EUR",89.542297
