"REF_AREA","FREQ","MEASURE","TIME_PERIOD","PRICE_BASE","BASE_PER","CURRENCY","OBS_VALUE"
"CA","A","SUBSID",2023,"Q",2023,"CAD",0
"CA","A","FUETAX",2023,"Q",2023,"CAD",15.388048
"CA","A","SUBSID",2021,"Q",2023,"CAD",0
"CA","A","SUBSID",2018,"Q",2023,"CAD",0
"CA","A","MPERPRI",2023,"Q",2023,"CAD",25.454683
"CA","A","MPERPRI",2021,"Q",2023,"CAD",17.549673
"CA","A","MPERPRI",2018,"Q",2023,"CAD",7.0469694
"CA","A","FUETAX",2021,"Q",2023,"CAD",22.131289
"CA","A","FUETAX",2018,"Q",2023,"CAD",25.534281
"CA","A","CARBTAX",2023,"Q",2023,"CAD",19.650406
"CA","A","CARBTAX",2021,"Q",2023,"CAD",13.806657
"CA","A","CARBTAX",2018,"Q",2023,"CAD",6.1552048
"CA","A","NETECR",2023,"Q",2023,"CAD",60.493137
"CA","A","NETECR",2021,"Q",2023,"CAD",53.487617
"CA","A","NETECR",2018,"Q",2023,"CAD",38.736458
"CA","A","ECRATE",2023,"Q",2023,"CAD",60.493137
"CA","A","ECRATE",2021,"Q",2023,"CAD",53.487617
"CH","A","ECRATE",2023,"Q",2023,"CHF",147.26765
"CH","A","SUBSID",2018,"Q",2023,"CHF",0
"CH","A","ECRATE",2021,"Q",2023,"CHF",145.46216
"CH","A","ECRATE",2018,"Q",2023,"CHF",140.02896
"CH","A","FUETAX",2021,"Q",2023,"CHF",106.79701
"CH","A","FUETAX",2018,"Q",2023,"CHF",107.77131
"FR","A","MPERPRI",2023,"Q",2023,"EUR",16.80323
"FR","A","MPERPRI",2021,"Q",2023,"EUR",11.956281
"FR","A","MPERPRI",2018,"Q",2023,"EUR",4.2343235
"NL","A","FUETAX",2018,"Q",2023,"EUR",85.920624
"BE","A","CARBTAX",2023,"Q",2023,"EUR",0
"BE","A","CARBTAX",2021,"Q",2023,"EUR",0
"BE","A","CARBTAX",2018,"Q",2023,"EUR",0
"FR","A","CARBTAX",2023,"Q",2023,"EUR",17.441525
"FR","A","CARBTAX",2021,"Q",2023,"EUR",18.84424
"FR","A","CARBTAX",2018,"Q",2023,"EUR",19.434891
"CH","A","NETECR",2023,"Q",2023,"CHF",147.26765
"CH","A","NETECR",2021,"Q",2023,"CHF",145.46216
"CH","A","NETECR",2018,"Q",2023,"CHF",140.02896
"CH","A","SUBSID",2023,"Q",2023,"CHF",0
"CH","A","SUBSID",2021,"Q",2023,"CHF",0
"CH","A","CARBTAX",2023,"Q",2023,"CHF",39.737247
"CH","A","CARBTAX",2021,"Q",2023,"CHF",33.310402
"CH","A","CARBTAX",2018,"Q",2023,"CHF",31.588089
"CH","A","MPERPRI",2023,"Q",2023,"CHF",8.5320559
"CH","A","MPERPRI",2021,"Q",2023,"CHF",5.3547382
"CH","A","MPERPRI",2018,"Q",2023,"CHF",0.66956019
"NL","A","NETECR",2023,"Q",2023,"EUR",118.49335
"NL","A","NETECR",2021,"Q",2023,"EUR",125.89374
"NL","A","NETECR",2018,"Q",2023,"EUR",95.036354
"FR","A","SUBSID",2023,"Q",2023,"EUR",-41.517406
"FR","A","SUBSID",2021,"Q",2023,"EUR",0
"FR","A","SUBSID",2018,"Q",2023,"EUR",0
"NL","A","FUETAX",2023,"Q",2023,"EUR",85.175926
"NL","A","FUETAX",2021,"Q",2023,"EUR",100.55272
"BE","A","FUETAX",2023,"Q",2023,"EUR",46.567234
"BE","A","FUETAX",2021,"Q",2023,"EUR",50.958672
"BE","A","FUETAX",2018,"Q",2023,"EUR",59.028828
"NL","A","ECRATE",2023,"Q",2023,"EUR",120.03323
"NL","A","ECRATE",2021,"Q",2023,"EUR",125.89374
"NL","A","ECRATE",2018,"Q",2023,"EUR",95.036354
"NL","A","MPERPRI",2023,"Q",2023,"EUR",34.588223
"NL","A","MPERPRI",2021,"Q",2023,"EUR",25.341019
"NL","A","MPERPRI",2018,"Q",2023,"EUR",9.1157312
"NL","A","SUBSID",2023,"Q",2023,"EUR",-1.5398747
"NL","A","SUBSID",2021,"Q",2023,"EUR",0
"NL","A","SUBSID",2018,"Q",2023,"EUR",0
"FR","A","ECRATE",2023,"Q",2023,"EUR",87.872475
"FR","A","ECRATE",2021,"Q",2023,"EUR",89.542297
"FR","A","ECRATE",2018,"Q",2023,"EUR",84.107719
"BE","A","MPERPRI",2023,"Q",2023,"EUR",27.4361
"BE","A","MPERPRI",2021,"Q",2023,"EUR",20.067879
"BE","A","MPERPRI",2018,"Q",2023,"EUR",7.2934008
"BE","A","NETECR",2023,"Q",2023,"EUR",72.73761
"BE","A","NETECR",2021,"Q",2023,"EUR",69.808418
"BE","A","NETECR",2018,"Q",2023,"EUR",65.369736
"FR","A","FUETAX",2023,"Q",2023,"EUR",53.62772
"BE","A","SUBSID",2023,"Q",2023,"EUR",-1.2657231
"BE","A","SUBSID",2021,"Q",2023,"EUR",-1.21813
"BE","A","SUBSID",2018,"Q",2023,"EUR",-0.95248985
"FR","A","NETECR",2023,"Q",2023,"EUR",46.355072
"FR","A","NETECR",2021,"Q",2023,"EUR",89.542297
"FR","A","NETECR",2018,"Q",2023,"EUR",84.107719
"BE","A","ECRATE",2023,"Q",2023,"EUR",74.003334
"BE","A","ECRATE",2021,"Q",2023,"EUR",71.02655
"UK","A","SUBSID",2023,"Q",2023,"GBP",-43.362339
"UK","A","ECRATE",2023,"Q",2023,"GBP",68.224228
"UK","A","SUBSID",2021,"Q",2023,"GBP",0
"UK","A","SUBSID",2018,"Q",2023,"GBP",0
"UK","A","MPERPRI",2023,"Q",2023,"GBP",12.894145
"UK","A","MPERPRI",2021,"Q",2023,"GBP",14.374697
"UK","A","MPERPRI",2018,"Q",2023,"GBP",4.7641687
"UK","A","ECRATE",2021,"Q",2023,"GBP",82.434837
"UK","A","ECRATE",2018,"Q",2023,"GBP",78.175964
"UK","A","CARBTAX",2023,"Q",2023,"GBP",1.7949958
"UK","A","CARBTAX",2021,"Q",2023,"GBP",2.0684271
"UK","A","CARBTAX",2018,"Q",2023,"GBP",2.5161879
"UK","A","NETECR",2023,"Q",2023,"GBP",24.861889
"UK","A","NETECR",2021,"Q",2023,"GBP",82.434837
"UK","A","NETECR",2018,"Q",2023,"GBP",78.175964
"UK","A","FUETAX",2023,"Q",2023,"GBP",53.535084
"UK","A","FUETAX",2021,"Q",2023,"GBP",65.991707
"IL","A","ECRATE",2018,"Q",2023,"ILS",302.0018
"IL","A","FUETAX",2023,"Q",2023,"ILS",243.11012
"IL","A","FUETAX",2021,"Q",2023,"ILS",293.54916
"FR","A","FUETAX",2021,"Q",2023,"EUR",58.741776
"FR","A","FUETAX",2018,"Q",2023,"EUR",60.438503
"NL","A","CARBTAX",2018,"Q",2023,"EUR",0
"NL","A","CARBTAX",2023,"Q",2023,"EUR",0.26907489
"NL","A","CARBTAX",2021,"Q",2023,"EUR",0
"BE","A","ECRATE",2018,"Q",2023,"EUR",66.322227
"IL","A","CARBTAX",2023,"Q",2023,"ILS",0
"IL","A","SUBSID",2023,"Q",2023,"ILS",-4.8419619
"IL","A","CARBTAX",2021,"Q",2023,"ILS",0
"IL","A","CARBTAX",2018,"Q",2023,"ILS",0
"IL","A","NETECR",2023,"Q",2023,"ILS",238.26816
"IL","A","NETECR",2021,"Q",2023,"ILS",287.93478
"IL","A","NETECR",2018,"Q",2023,"ILS",296.15414
"IL","A","SUBSID",2021,"Q",2023,"ILS",-5.6143737
"IL","A","SUBSID",2018,"Q",2023,"ILS",-5.8476596
"IL","A","MPERPRI",2018,"Q",2023,"ILS",0
"IL","A","MPERPRI",2023,"Q",2023,"ILS",0
"IL","A","MPERPRI",2021,"Q",2023,"ILS",0
"IL","A","ECRATE",2023,"Q",2023,"ILS",243.11012
"IL","A","ECRATE",2021,"Q",2023,"ILS",293.54916
"SE","A","NETECR",2023,"Q",2023,"SEK",1028.9604
"SE","A","ECRATE",2023,"Q",2023,"SEK",1028.9604
"SE","A","NETECR",2021,"Q",2023,"SEK",1118.2292
"SE","A","NETECR",2018,"Q",2023,"SEK",1003.364
"SE","A","MPERPRI",2023,"Q",2023,"SEK",317.25806
"SE","A","MPERPRI",2021,"Q",2023,"SEK",211.65657
"SE","A","MPERPRI",2018,"Q",2023,"SEK",75.13868
"SE","A","ECRATE",2021,"Q",2023,"SEK",1118.2292
"SE","A","ECRATE",2018,"Q",2023,"SEK",1003.364
"SE","A","FUETAX",2023,"Q",2023,"SEK",299.91025
"SE","A","FUETAX",2021,"Q",2023,"SEK",487.54156
"SE","A","FUETAX",2018,"Q",2023,"SEK",506.90262
"SE","A","CARBTAX",2018,"Q",2023,"SEK",421.32272
"SE","A","CARBTAX",2023,"Q",2023,"SEK",411.79211
"SE","A","CARBTAX",2021,"Q",2023,"SEK",419.03113
"SE","A","SUBSID",2023,"Q",2023,"SEK",0
"SE","A","SUBSID",2021,"Q",2023,"SEK",0
"US","A","MPERPRI",2021,"Q",2023,"USD",1.4437348
"US","A","MPERPRI",2018,"Q",2023,"USD",0.7245428
"US","A","CARBTAX",2023,"Q",2023,"USD",0
"US","A","CARBTAX",2021,"Q",2023,"USD",0
"US","A","CARBTAX",2018,"Q",2023,"USD",0
"US","A","NETECR",2023,"Q",2023,"USD",15.629513
"US","A","FUETAX",2023,"Q",2023,"USD",13.286365
"US","A","FUETAX",2021,"Q",2023,"USD",14.625321
"US","A","FUETAX",2018,"Q",2023,"USD",14.990741
"US","A","SUBSID",2023,"Q",2023,"USD",-0.19567659
"US","A","SUBSID",2021,"Q",2023,"USD",-0.26632887
"US","A","SUBSID",2018,"Q",2023,"USD",-0.22598888
"CA","A","ECRATE",2018,"Q",2023,"CAD",38.736458
"CH","A","FUETAX",2023,"Q",2023,"CHF",98.998352
"UK","A","FUETAX",2018,"Q",2023,"GBP",70.895607
"IL","A","FUETAX",2018,"Q",2023,"ILS",302.0018
"SE","A","SUBSID",2018,"Q",2023,"SEK",0
"US","A","ECRATE",2023,"Q",2023,"USD",15.82519
"US","A","NETECR",2021,"Q",2023,"USD",15.802727
"US","A","NETECR",2018,"Q",2023,"USD",15.489295
"US","A","ECRATE",2021,"Q",2023,"USD",16.069056
"US","A","ECRATE",2018,"Q",2023,"USD",15.715283
"US","A","MPERPRI",2023,"Q",2023,"USD",2.538825
