"ID","weight","weight_2","Country_code","Country_name","Age_cat","Female","Income","Higher_edu","Home_ownership","Dwelling_house","Dwelling_size","Rural","Env_concern","Env_policy_public","Env_policy_costs","Env_policy_subsidy","Env_policy_tax","Env_policy_standards","Env_policy_liH","Adoption","Gov_support","EPS"
"80cdf640-414e-11ec-93c6-dbe55deed075",0.982833612022148,0.937452766434834,9,"BE","55+",0,"quintile 5",1,1,1,"151–200 m²",1,1,1,1,1,1,1,1,1,0,2.98
"130d16e0-e674-11ec-9c97-33f1cba5a245",0.970605534498312,0.931221469540134,9,"BE","18-24",0,"quintile 5",1,1,1,"151–200 m²",0,0,0,0,1,0,0,0,0,0,2.98
"317c3b30-be48-11ec-a45c-c352449ca56a",1.04461903233662,0.983264009557498,2,"UK","35-44",0,"quintile 5",1,1,1,"101–150 m²",0,1,1,0,1,1,1,1,1,0,3.45
"40b27f80-bda5-11ec-b046-e1f472944d88",1.00787081350731,0.952113916746454,3,"FR","55+",0,"quintile 5",1,1,1,"101–150 m²",1,1,0,0,0,1,1,1,1,0,4.17
"374d9390-6438-11ec-bf8a-1f401b52f958",0.870564438942773,0.977527794017354,5,"SE","55+",1,"quintile 3",0,1,1,"151–200 m²",1,0,1,0,1,0,1,1,1,0,3.59
"97ac7540-414e-11ec-931e-5b456a5c12fb",0.995993004882685,0.996398327917078,9,"BE","35-44",1,"quintile 3",0,1,1,"101–150 m²",0,0,1,0,1,1,1,1,1,1,2.98
"4bc5c6e0-92f0-11ec-8913-fb3309d98a9b",1.17633561475659,1.25827297923182,3,"FR","45-54",0,"quintile 3",0,1,0,"76–100 m²",1,0,0,1,0,0,0,1,1,1,4.17
"cf0947b0-414e-11ec-b84c-05eba2254ffb",0.92330840844453,0.875525523457449,9,"BE","55+",1,"quintile 4",0,0,1,"76–100 m²",1,1,1,0,1,0,0,1,0,0,2.98
"d9f0df70-6ef0-11ec-8e99-1f0cddc619fd",0.9979951778157,0.94253915207488,3,"FR","55+",0,"quintile 5",0,1,1,"101–150 m²",1,1,1,0,1,0,1,1,1,1,4.17
"2d22d6b0-5751-11ec-924b-43cf5e747fa6",0.949487466927811,1.2645406561617,1,"US","25-34",1,"quintile 5",0,0,0,"Don't know",0,1,0,0,0,0,1,1,1,0,2.6
