"ID","weight","weight_2","Country","REGION_UK","REGION_SE3","REGION_US2","REGION_NL2","REGION_CH","REGION_FR2","REGION_CA","REGION_BE","REGION_IL","Gender","Age_cat","Income","order_parts","S20","S5","S18","S19_1","S19_1_1","S19_2","S9_US","S9_UK","S9_FR","S9_SE","S9_CH","S9_NL","S9_CA","S9_BE","S9_IL","S10","B23_1","B31_1","B31_3","B31_5","B31_6","B31_7","B31_8","C34_1_2","C34_1_3","C34_1_4","C34_1_5","C34_1_6","C34_1_7","C34_1_89","C34_1_888888","C34_2_2","C34_2_3","C34_2_4","C34_2_5","C34_2_6","C34_2_7","C34_2_89","C34_2_888888","C35_1","C35_2","C35_3","C35_89","C35_888888","C37_1","C37_2","C37_3","C37_4","C37_5","C37_6","C37_8","C44_1","C44_2","C44_3","C44_4","C44_6","C44_9","C45_1","C45_3","C45_4","C45_6","C45_9","C46_1","C46_2","C46_3","C46_5","C46_6","C46_9","C47_1","C47_2","C47_4","C47_6","C49_1","C49_2","C49_3","C50"
"80cdf640-414e-11ec-93c6-dbe55deed075",0.982833612022148,0.937452766434834,9,NA,NA,NA,NA,NA,NA,NA,3,NA,1,5,5,"A,B,E,C",3,1,4,6,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,4,5,2,4,4,2,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,3,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,4,4,4,4,1
"130d16e0-e674-11ec-9c97-33f1cba5a245",0.970605534498312,0.931221469540134,9,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,5,"A,C,B,F",1,1,3,6,NA,1,NA,NA,NA,NA,NA,NA,NA,8,NA,2,3,4,4,1,3,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,8,NA,NA,NA,NA,NA,2,1,1,1,2,2,NA,1,2,NA,NA,2,NA,NA,NA,2,5,4,5,4,4,4,2,2,3
"317c3b30-be48-11ec-a45c-c352449ca56a",1.04461903233662,0.983264009557498,2,11,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,"A,C,B,D",2,1,4,5,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,2,4,3,4,4,5,4,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,4,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,3,3,4,4,3,4,4,5,1
"40b27f80-bda5-11ec-b046-e1f472944d88",1.00787081350731,0.952113916746454,3,NA,NA,NA,NA,NA,53,NA,NA,NA,1,5,5,"A,C,E,B",4,1,3,5,NA,1,NA,NA,7,NA,NA,NA,NA,NA,NA,1,5,2,4,3,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,6,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,4,5,1,4,5,4,3,4,5,1
"374d9390-6438-11ec-bf8a-1f401b52f958",0.870564438942773,0.977527794017354,5,NA,6,NA,NA,NA,NA,NA,NA,NA,2,5,3,"A,E,C,B",4,1,3,6,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,3,3,4,4,4,3,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,888888,NA,NA,NA,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,5,5,5,4,4,5,4,4,1,4,1
"bdfed0c0-4154-11ec-a1a1-a1c6f52e1927",0.956499692569294,0.952844430950926,2,11,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,"A,F,C,B",3,2,1,888888,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,3,NA,NA,NA,NA,2,1,2,2,2,2,NA,NA,NA,NA,NA,4,NA,4,3,3,3,3,5,4,3,4,3,4,1
"10190fa0-58c9-11ec-bb68-f785844cec8b",0.915920877911347,1.01844230444983,5,NA,10,NA,NA,NA,NA,NA,NA,NA,2,5,3,"A,F,B,C",3,2,1,4,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,4,3,3,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,3,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,4,2,4,4,4,4,4,4,4,4,5,4,4,1
"97ac7540-414e-11ec-931e-5b456a5c12fb",0.995993004882685,0.996398327917078,9,NA,NA,NA,NA,NA,NA,NA,3,NA,2,3,3,"A,D,C,B",2,1,4,5,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,2,3,4,4,4,4,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,3,NA,NA,NA,NA,NA,1,1,2,1,2,2,1,NA,1,NA,NA,NA,NA,3,1,3,3,5,5,5,5,4,4,4,1
"4bc5c6e0-92f0-11ec-8913-fb3309d98a9b",1.17633561475659,1.25827297923182,3,NA,NA,NA,NA,NA,93,NA,NA,NA,1,4,3,"A,F,C,B",89,1,89,4,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,4,5,2,2,3,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,NA,3,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,888888,4,2,888888,3,3,2,1
"cf0947b0-414e-11ec-b84c-05eba2254ffb",0.92330840844453,0.875525523457449,9,NA,NA,NA,NA,NA,NA,NA,3,NA,2,5,4,"A,C,D,B",3,2,3,4,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,1,5,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,6,NA,NA,NA,NA,NA,2,1,2,2,2,2,NA,NA,NA,NA,NA,3,NA,3,3,1,3,4,5,4,5,4,2,3,1
