year,jurisdiction,title,description,status,ISO3,country,topic,type,category,source
2024,National,2023 Energy Efficiency Standards for Air Conditioners and Heat Pumps,The US Department Of Energy updated energy efficiency standards for room air conditioners and portable air cleaners in 2023. The new rules will come into effect in 2024 for air cleaners and 2026 for room air conditioners. ,In force,USA,United States,Buildings,"Minimum Energy Performance Standards (MEPS),Regulations","Heat pumps,Air conditioners",https://www.law.cornell.edu/cfr/text/10/430.32
2020,National,UK Budget 2020 - Heat Networks Investment Project,"The government added GBP 96 million to the budget for the last year of the scheme, which ends in March 2022.  A further GBP 270 million will be invested in a new Green Heat Networks Scheme. It will enable new and existing heat networks to switch to low carbon sources and connect to waste heat that would otherwise be released into the atmosphere.  ",Ended,GBR,United Kingdom,Buildings,"Government spending for efficient or cleaner technologies,Incentives and investments",Not applicable,https://www.gov.uk/government/publications/budget-2020-documents/budget-2020#budget-policy-decisions
2020,National,UK Plan for Jobs - Green Homes Grant,"The government will introduce a £2 billion Green Homes Grant, providing at least £2 for every £1 homeowners and landlords spend to make their homes more energy efficient, up to £5,000 per household.  For those on the lowest incomes, the scheme will fully fund energy efficiency measures up to £10,000 per household. In total this could support over 100,000 green jobs and help strengthen a supply chain that will be vital for meeting our target of net zero greenhouse gas emissions by 2050.  According to news reports, the grant covers the following technologies: Loft and floor insulationNew, more efficient boilersHeat pumpsEnergy-efficient lightingDouble or triple glazed windowsEnergy-efficient doors Tradespeople must register for TrustMark accreditation to take part in the scheme to ensure sufficient training. As of March 27, 2021: The UK Ten Point Plan extended the program by one year with GBP 1 billion of additional funding. However total spending for green home upgrades in energy efficiency will amount to 1.3 billion GBP, 300 million GBP more compared to the initial budget. The new funding will be delivered to local authorities and will help lower income households cut emissions whilst saving money on bills, helping country build back greener. The Green Homes Grant voucher scheme closed on March 31st, 2021.  ",Ended,GBR,United Kingdom,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.gov.uk/government/publications/a-plan-for-jobs-documents/a-plan-for-jobs-2020
2020,National,UK Plan for Jobs - Public Sector Decarbonisation Scheme,"The Clean Growth Strategy (published 2017) set out the government’s ambition to halve greenhouse gas emissions from the public sector by 2032.  To help achieve this and support economic recovery, the government invested £1 billion in 2020 in a Public Sector Decarbonisation Scheme that will offer grants to public sector bodies, including schools and hospitals, to fund both energy efficiency and low carbon heat upgrades. It was followed by £75 million of funding for 2021/2022 then £1.425 billion for 2022/2025. ",Ended,GBR,United Kingdom,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.gov.uk/government/publications/a-plan-for-jobs-documents/a-plan-for-jobs-2020
2020,National,UK Plan for Jobs - Courts and Tribunals estate sustainability,"The government will invest £40 million to improve the environmental sustainability of the courts and tribunals estate in England and Wales, investing in initiatives to reduce energy and water usage.",Ended,GBR,United Kingdom,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.gov.uk/government/publications/a-plan-for-jobs-documents/a-plan-for-jobs-2020
2020,National,UK Plan for Jobs - Social Housing Decarbonisation Fund,"The government will establish a new Social Housing Decarbonisation Fund to help social landlords improve the least energy-efficient social rented homes, starting with a GBP 50 million demonstrator project in 2020-21 to decarbonise social housing. This will mean warmer homes and lower annual energy bills for some of the lowest income households. 23 August 2021, the government announced that local authorities and housing associations will have the chance to secure a share in a significant 160 million GBP cash injection through the Social Housing Decarbonisation Fund, to promote stronger energy efficiency of socially rented homes.  ",Ended,GBR,United Kingdom,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.gov.uk/government/publications/a-plan-for-jobs-documents/a-plan-for-jobs-2020
2020,National,Community Efficiency Financing Initiative (second phase),"The CAD 300 million Community Efficiency Financing initiative is designed to help municipalities and their partners implement innovative local financing programs to improve energy efficiency, cut greenhouse gas emissions and make homes more comfortable and affordable in low-rise residential properties.  Funding is provided by the Government of Canada and delivered by the Federation of Canadian Municipalities (FCM) through the FCM's existing Green Municipal Fund. The funding will be delivered via a 'bottom-up' approach to local program design, offering applicants the opportunity to study and design programs tailored to local priorities and contexts and may build on approaches such as Property Assessed Clean Energy (PACE) financing and utility on-bill financing.",In force,CAN,Canada,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://fcm.ca/en/programs/green-municipal-fund/community-efficiency-financing
2020,National,"£1.3 billion investment to deliver homes, infrastructure and jobs","The government confirms a GBP 1.3 billion investment to deliver homes, infrastructure, and jobs. This funding focuses on efficient new construction, complementing the Green Homes Grant scheme, which targets energy efficiency retrofits.  GBP 900 million will go to the Getting Building Fund, to invest in shovel-ready housing and infrastructure projects. An additional GBP 360 million investment will go to building in brownfield areas, through the Mayoral Combined Authority's GBP 400 million Brownfield Fund.   ",Ended,GBR,United Kingdom,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",New buildings,https://www.gov.uk/government/news/1-3-billion-investment-to-deliver-homes-infrastructure-and-jobs
2020,National,CAIF funding for school energy efficiency and retrofits,"The Climate Action Incentive Fund (CAIF) MUSH Retrofit stream provides funding to municipalities, universities/colleges, schools, and hospitals to help them make energy efficiency improvements and retrofits.  This CAIF program is available in the provinces of Saskatchewan, Manitoba, Ontario, and New Brunswick. The first round of funding for 2019-2020 is intended to support energy efficiency projects in schools, with a budget of approximately CAD 60 million. Funding estimated at approximately CAD 5 million will be allocated to Manitoba, CAD 12 million to Saskatchewan, and CAD 40.8 million to Ontario. ",Ended,CAN,Canada,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.canada.ca/en/environment-climate-change/services/climate-change/carbon-pollution-pricing-proceeds-programming/climate-action-incentive-fund/municipalities-universities-schools-hospitals.html
2020,State/Provincial,Investment in Alberta construction industry for energy efficiency and green building practices,"The Federal Government is investing CAD 3 million in Alberta's construction and engineering industry through Western Economic Diversification Canada (WD). This investment will help small and medium-sized businesses adopt new products and technologies that improve the energy efficiency of buildings and reduce greenhouse gas (GHG) emissions. WD funding is complemented by an investment of more than $2.8 million from Alberta Innovates (public agency), in-kind support from industry and $165,000 from the Smart Sustainable Resilient Infrastructure Association (SSRIA), bringing the total project funding to over $6.3 million. Products and services expected to be commercialized include:- materials for walls, roofs and foundations;- mechanical and electrical system improvements;- sensors and lighting products that reduce energy consumption;- software for storing and analyzing performance on energy efficiency and GHG.",In force,CAN,Canada,Buildings,"Government spending for energy-efficient buildings,Incentives and investments",Existing buildings,https://www.canada.ca/en/western-economic-diversification/news/2020/09/government-of-canada-invests-in-albertas-construction-industry-to-help-strengthen-energy-efficiency-and-green-building-practices.html
