STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,REF_AREA,,SECTOR,,COUNTERPART_SECTOR,,TRANSACTION,,INSTR_ASSET,,ACTIVITY,,EXPENDITURE,,UNIT_MEASURE,,PRICE_BASE,,TRANSFORMATION,,TABLE_IDENTIFIER,,TIME_PERIOD,,OBS_VALUE,,REF_YEAR_PRICE,,CONF_STATUS,,DECIMALS,,OBS_STATUS,,UNIT_MULT,,CURRENCY,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,CAN,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2019,,1.256548,,,,F,,6,,A,,0,,CAD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,CAN,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2018,,1.232412,,,,F,,6,,A,,0,,CAD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,CAN,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2023,,1.17265,,,,F,,6,,A,,0,,CAD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,CAN,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2022,,1.186042,,,,F,,6,,A,,0,,CAD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,CAN,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2021,,1.199705,,,,F,,6,,A,,0,,CAD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,CHE,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2019,,1.294887,,,,F,,6,,A,,0,,CHF,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,CHE,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2018,,1.359794,,,,F,,6,,A,,0,,CHF,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,CHE,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2023,,1.11455,,,,F,,6,,A,,0,,CHF,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,CHE,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2022,,1.152567,,,,F,,6,,A,,0,,CHF,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,CHE,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2021,,1.217696,,,,F,,6,,A,,0,,CHF,
